User Input,keep_faq_for_test,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Associated URL
Can I speak to someone about fraud,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Someone is using my personal details to set up an account with vodafone fraudulently,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
I have been a victim of fraud,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Someone's using my details fraudulently to set up a vodafone account,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Talk to someone about fraud on my account,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
How do I contact your fraud department ,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Can someone check if there's been fraud on my account,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
My account has been flagged for fraud,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
How do I report fraud,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
I need to report fraudulent activity on my account,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
"Can you connect me to a someone to help me, my account was flagged for fraud",Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Suspected hacking or fraud on my account,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
I think I may have been frauded,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Can you give me the number for your fraud team,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Please check my account for signs of fraud,Y,I think I've been a victim of fraud,,,https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
,N,How do I get Vodafone Insurance?,,,
Wifi won't connect to my ultra hub,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
I can't connect my device to the ultra hub oer wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Why wont any of my devices connect to the ultra hub through wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
My ultra hub isn't connecting to my phone on wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Non of my devices will connect to the ultra hub using wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Ultra hub won't connect to any phones in the house on the wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Why isn't my phone connecting to the ultra hub through wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
We aren't able to connect any devices to the ultra hub when on wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
I've tried connecting wifi to the ultra hub but it's not working,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Devices won't connect to the ultra hub via wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
I'm not able to connect my phone to the ultra hub through wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
I can't seem to connect my phone via wifi to the ultra hub,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Devices aren't connecting to the ultra hub over wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Can you check why my phone won't connect to my ultra hub through wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
Devices can't connect to the ultra hub while i'm on the wifi,N,My devices can�t connect to my Ultra Hub through WiFi,,,https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1929353252/My-devices-can-t-connect-to-my-Vodafone-Hub-through-WiFi.htm
How much does a repair cost,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Can you tell me how much it will cost to repair my phone,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What's the cost of repairing a device,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much can I expect to pay to repair my device,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
I need to send my phone for repair how much will it cost,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much will it cost to repair my phone,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
If I send my phone for repair how much will it cost,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What are the charges for repairing a phone,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Charges for sending my phone for repair,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Can you check how much I'll pay to repair my phone,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Checking the charges for repairing a device,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Do you charge me to send my phone off for repair ,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
I want to know how much you're going to charge me to repair my device,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much will you be adding to my bill to repair my phone,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What's the cost of sending my phone off for repair,Y,How much will it cost to repair my device?,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
,N,What is a replacement SIM and how long does it take to activate?,,,
,N,"How do I change my name, title or date of birth?",,,
I have a question about my insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Who can help with questions about insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can I please speak to someone to help with a question about insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can you help with a question I have about my insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I need help with an insurance question,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I have a question I need help with about insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can you answer me a question about insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I need to ask some insurance related questions,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Who can I ask for help with insurance questions,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Help with insurance questions,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I have some questions about insurance,Y,I have a question about my insurance,,,https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Has Vodafone called me,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
I need to check if it's vodafone who has been calling me ,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How do I know if it's vodafone calling me ,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Check if the number that called me was actually vodafone,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Did vodafone just call me?,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Someone just called and said they're vodafone can you check it was you please,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How am I able to check for definite if it's vodafone calling,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
What numbers will show up if it's vodafone calling,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How can I check if it was vodafone calling me,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Change my marketing preferences ,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
I don't want vodafone to call me ,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Check my marketing preferences ,Y,Is it Vodafone calling?,,,https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
,N,How much will it cost to use my phone abroad?,,,
,N,How do I manage my spend limits and data caps?,,,
How do I set up a dual sim phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I want to set up dual sim on my phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Setting up a dual sim phone and I need help,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Please help me setting up dual sim on my new device,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Can you help me set up dual sim on this new phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I have a duel sim phone and i'm unsure how to use it ,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Help me set up a dual sim phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Can someone please show me how I set up a dual sim phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I'm having trouble setting up my dual sim phone,Y,How do I set up a Dual SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
,N,How much does it cost to call abroad from the UK?,,,
How do I check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
What number do I dial to check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Can you tell me how to check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
How do I call my voicemail mailbox,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
I need some help checking my voicemail please,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
I'm having trouble checking my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
I'm trying to check my voicemail but it's not working can you help me please,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Why can't I check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Can you give me the steps I need to take to check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Help me check my voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Can someone show me how to listen to a voicemail,Y,How do I check my voicemail?,,,https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
,N,How is Vodafone broadband installed?,,,
,N,My WiFi speed is slower than I expected,,,
How do I factory reset my Vodafone router?,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
Instructions to factory reset my router,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
How do I reset my router,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
How do I reset my router to factory settings,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
Factory resetting my vodafonr router,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
Do you know how I reset a vodafone router back to factory settings,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
I could do with some help resetting my vodafone router,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
Steps for resetting a vodafone router to factory settings,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
Please help how do I factory rest my vodafone router ,Y,How do I factory reset my Vodafone router?,,,https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1643206972/How-do-I-factory-reset-my-Vodafone-router.htm
,N,Why hasn�t my Pay as you go Plus plan Auto-Renewed? ,,,
What are veryme rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Tell me more about vodafone veryme rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
What's the veryme rewards scheme,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
What kind of rewards can I get on veryme,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Can I get more information about veryme rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
I don't know what veryme rewards are ,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Please can you tell me what veryme rewards are,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
I can see veryme rewards on my account but I don't know what they are,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Veryme rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Very me rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
What are very me rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
What's very me rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
What is veryme rewards,N,What's VeryMe Rewards?,,,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
how do I manage broadband boost,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
I need to see how I can boost my internet/wifi,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
is there a way to boost wifi on my device,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
what is broadband boost,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
what is the vodafone broadband boost feature,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
How do I use the Broadband Boost feature,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
What is the Broadband Boost feature,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
I'm not sure how to use the Broadband Boost feature can you help me please,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
Can someone please help me manage the Broadband Boost feature,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
I don't understand how to use the Broadband Boost feature,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
Can I get more information about the vodafone Broadband Boost feature please,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
What is Broadband Boost and how does it work,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
How does the Broadband Boost feature work,Y,What is the Vodafone Broadband Boost feature and how do I use it?,,,https://support.vodafone.co.uk/Broadband/Security-controls-Home-Broadband-/1464003612/What-is-the-Vodafone-Broadband-Boost-feature-and-how-do-I-use-it.htm
,N,How do I set up Super WiFi Boosters?,,,
,N,How do I change my marketing preferences?,,,
How do I cancel my Secure Net subscription?,Y,How do I cancel my Secure Net subscription?,,,https://support.vodafone.co.uk/Account/Security-privacy/1464064512/How-do-I-cancel-my-Secure-Net-subscription.htm
Cancel secure net,Y,How do I cancel my Secure Net subscription?,,,https://support.vodafone.co.uk/Account/Security-privacy/1464064512/How-do-I-cancel-my-Secure-Net-subscription.htm
I want to cancel secure net,Y,How do I cancel my Secure Net subscription?,,,https://support.vodafone.co.uk/Account/Security-privacy/1464064512/How-do-I-cancel-my-Secure-Net-subscription.htm
How do I cancel secure net,Y,How do I cancel my Secure Net subscription?,,,https://support.vodafone.co.uk/Account/Security-privacy/1464064512/How-do-I-cancel-my-Secure-Net-subscription.htm
please cancel secure net off my account,Y,How do I cancel my Secure Net subscription?,,,https://support.vodafone.co.uk/Account/Security-privacy/1464064512/How-do-I-cancel-my-Secure-Net-subscription.htm
